Programming_Language, Number_of_Bugs, Lines_of_Code
Python,10,500
Java,12,600
C++,15,700
Python,11,550
Java,13,650
C++,16,750
Python,12,600
Java,14,700
C++,17,800
Python,13,650
Java,15,750
C++,18,850
Python,14,700
Java,16,800
C++,19,900
Python,15,750
Java,17,850
C++,20,950
Python,16,800
Java,18,900
C++,21,1000
Python,17,850
Java,19,950
C++,22,1100
Python,18,900
Java,20,1000
C++,23,1200
Python,19,950
Java,21,1100
C++,24,1300
Python,20,1000
Java,22,1200
C++,25,1400
Python,21,1050
Java,23,1300
C++,26,1500
Python,22,1100
Java,24,1400
C++,27,1600
Python,23,1150
Java,25,1500
C++,28,1700
Python,24,1200
Java,26,1600
C++,29,1800
Python,25,1250
Java,27,1700
C++,30,1900
Python,26,1300
Java,28,1800
C++,31,2000
