Programming_Language, Lines_of_Code, Number_of_Bugs
Python, 500, 10
Java, 600, 12
C++, 700, 15
Python, 550, 11
Java, 650, 13
C++, 750, 16
Python, 600, 12
Java, 700, 14
C++, 800, 17
Python, 650, 13
Java, 750, 15
C++, 850, 18
Python, 700, 14
Java, 800, 16
C++, 900, 19
Python, 750, 15
Java, 850, 17
C++, 950, 20
Python, 800, 16
Java, 900, 18
C++, 1000, 21
Python, 850, 17
Java, 950, 19
C++, 1100, 22
Python, 900, 18
Java, 1000, 20
C++, 1200, 23
Python, 950, 19
Java, 1100, 21
C++, 1300, 24
Python, 1000, 20
Java, 1200, 22
C++, 1400, 25
Python, 1050, 21
Java, 1300, 23
C++, 1500, 26
Python, 1100, 22
Java, 1400, 24
C++, 1600, 27
Python, 1150, 23
Java, 1500, 25
C++, 1700, 28
Python, 1200, 24
Java, 1600, 26
C++, 1800, 29
Python, 1250, 25
Java, 1700, 27
C++, 1900, 30
Python, 1300, 26
Java, 1800, 28
C++, 2000, 31
